"1"      "Activity"
"2"      "Subject"
"3"      "BodyAccelerationMeanXAxisTime"
"4"      "BodyAccelerationMeanYAxisTime"
"5"      "BodyAccelerationMeanZAxisTime"
"6"      "GravityAccelerationMeanXAxisTime"
"7"      "GravityAccelerationMeanYAxisTime"
"8"      "GravityAccelerationMeanZAxisTime"
"9"      "BodyAccelerationJerkMeanXAxisTime"
"10"      "BodyAccelerationJerkMeanYAxisTime"
"11"      "BodyAccelerationJerkMeanZAxisTime"
"12"      "BodyGyrometerMeanXAxisTime"
"13"      "BodyGyrometerMeanYAxisTime"
"14"      "BodyGyrometerMeanZAxisTime"
"15"      "BodyGyrometerJerkMeanXAxisTime"
"16"      "BodyGyrometerJerkMeanYAxisTime"
"17"      "BodyGyrometerJerkMeanZAxisTime"
"18"      "BodyAccelerationMagnitudeMeanTime"
"19"      "GravityAccerationMagnitudeMeanTime"
"20"      "BodyAccelerationJerkMagnitudeMeanTime"
"21"      "BodyGyrometerMagnitudeMeanTime"
"22"      "BodyGyrometerJerkMagnitudeMeanTime"
"23"      "BodyAccelerationMeanXAxisFrequency"
"24"      "BodyAccelerationMeanYAxisFrequency"
"25"      "BodyAccelerationMeanZAxisFrequency"
"26"      "BodyAccelerationMeanFreqXAxisFrequency"
"27"      "BodyAccelerationMeanFreqYAxisFrequency"
"28"      "BodyAccelerationMeanFreqZAxisFrequency"
"29"      "BodyAccelerationJerkMeanXAxisFrequency"
"30"      "BodyAccelerationJerkMeanYAxisFrequency"
"31"      "BodyAccelerationJerkMeanZAxisFrequency"
"32"      "BodyAccelerationJerkMeanFreqXAxisFrequency"
"33"      "BodyAccelerationJerkMeanFreqYAxisFrequency"
"34"      "BodyAccelerationJerkMeanFreqZAxisFrequency"
"35"      "BodyGyrometerMeanXAxisFrequency"
"36"      "BodyGyrometerMeanYAxisFrequency"
"37"      "BodyGyrometerMeanZAxisFrequency"
"38"      "BodyGyrometerMeanFreqXAxisFrequency"
"39"      "BodyGyrometerMeanFreqYAxisFrequency"
"40"      "BodyGyrometerMeanFreqZAxisFrequency"
"41"      "BodyAccelerationMagnitudeMeanFrequency"
"42"      "BodyAccelerationMagnitudeMeanFreqFrequency"
"43"      "BodyAccelerationJerkMagnitudeMeanFrequency"
"44"      "BodyAccelerationJerkMagnitudeMeanFreqFrequency"
"45"      "BodyGyrometerMagnitudeMeanFrequency"
"46"      "BodyGyrometerMagnitudeMeanFreqFrequency"
"47"      "BodyGyrometerJerkMagnitudeMeanFrequency"
"48"      "BodyGyrometerJerkMagnitudeMeanFreqFrequency"
"49"      "BodyAccelerationStandardDeviationXAxisTime"
"50"      "BodyAccelerationStandardDeviationYAxisTime"
"51"      "BodyAccelerationStandardDeviationZAxisTime"
"52"      "GravityAccelerationStandardDeviationXAxisTime"
"53"      "GravityAccelerationStandardDeviationYAxisTime"
"54"      "GravityAccelerationStandardDeviationZAxisTime"
"55"      "BodyAccelerationJerkStandardDeviationXAxisTime"
"56"      "BodyAccelerationJerkStandardDeviationYAxisTime"
"57"      "BodyAccelerationJerkStandardDeviationZAxisTime"
"58"      "BodyGyrometerStandardDeviationXAxisTime"
"59"      "BodyGyrometerStandardDeviationYAxisTime"
"60"      "BodyGyrometerStandardDeviationZAxisTime"
"61"      "BodyGyrometerJerkStandardDeviationXAxisTime"
"62"      "BodyGyrometerJerkStandardDeviationYAxisTime"
"63"      "BodyGyrometerJerkStandardDeviationZAxisTime"
"64"      "BodyAccelerationMagnitudeStandardDeviationTime"
"65"      "GravityAccelerationMagnitudeStandardDeviationTime"
"66"      "BodyAccelerationJerkMagnitudeStandardDeviationTime"
"67"      "BodyGyrometerMagnitudeStandardDeviationTime"
"68"      "BodyGyrometerJerkMagnitudeStandardDeviationTime"
"69"      "BodyAccelerationStandardDeviationXAxisFrequency"
"70"      "BodyAccelerationStandardDeviationYAxisFrequency"
"71"      "BodyAccelerationStandardDeviationZAxisFrequency"
"72"      "BodyAccelerationJerkStandardDeviationXAxisFrequency"
"73"      "BodyAccelerationJerkStandardDeviationYAxisFrequency"
"74"      "BodyAccelerationJerkStandardDeviationZAxisFrequency"
"75"      "BodyGyrometerStandardDeviationXAxisFrequency"
"76"      "BodyGyrometerStandardDeviationYAxisFrequency"
"77"      "BodyGyrometerStandardDeviationZAxisFrequency"
"78"      "BodyAccelerationMagnitudeStandardDeviationFrequency"
"79"      "BodyAccelerationJerkMagnitudeStandardDeviationFrequency"
"80"      "BodyGyrometerMagnitudeStandardDeviationFrequency"
"81"      "BodyGyrometerJerkMagnitudeStandardDeviationFrequency"
